Actors	deadpool
CameraUids	919e0001a329b159,919e0001a329b15a,919e0001a329b15b,919e0001a329b15c,919e0001a329b15d,919e0001a329b15f,919e0001a329b161,919e0001a329b162,919e0001a329b163,919e0001a329b164,919e0001a329b165
CurrentFrame	0
Duration	59.163
DurationInFrames	2899
Framerate	49/1
Name	shot_002
Processed	
RecordedWith	Captury Live 1.0.233 2021-05-13 12:52:07 +0200 cc871f0dc
StartTimestamp	1627389744221131
SubFrame	915291/1000000;148921/500000;509179/1000000;186857/1000000;4889/62500;130301/500000;373439/500000;495361/1000000;74549/1000000;85409/100000;140209/1000000
Time	2021-07-27 14:42:24
Uid	4473f549464485d3
