Actors	Daniel, Niklas
CameraUids	919e0001a329b159,919e0001a329b15a,919e0001a329b15b,919e0001a329b15c,919e0001a329b15d,919e0001a329b15f,919e0001a329b161,919e0001a329b162,919e0001a329b163,919e0001a329b164,919e0001a329b165
Duration	1:35.142
DurationInFrames	4662
Framerate	49/1
Name	shot_001
Processed	
RecordedWith	Captury Live 1.0.233 2021-05-13 12:52:07 +0200 cc871f0dc
StartTimestamp	1627393274592566
SubFrame	692713/1000000;62377/250000;79723/250000;95599/125000;6223/40000;26607/62500;415863/1000000;320803/1000000;83251/500000;101773/1000000;98833/500000
Tag	bad
Time	2021-07-27 15:41:14
Uid	6851de8503c98e44
