Actors	Niklas, Daniel
CameraUids	919e0001a329b159,919e0001a329b15a,919e0001a329b15b,919e0001a329b15c,919e0001a329b15d,919e0001a329b15f,919e0001a329b161,919e0001a329b162,919e0001a329b163,919e0001a329b164,919e0001a329b165
Duration	32.612
DurationInFrames	1598
Framerate	49/1
Name	shot_001
Processed	
RecordedWith	Captury Live 1.0.233 2021-05-13 12:52:07 +0200 cc871f0dc
StartTimestamp	1627390692919096
SubFrame	679649/1000000;149337/500000;192/625;68989/100000;35999/125000;655737/1000000;321949/1000000;307249/1000000;29103/100000;142281/500000;146887/500000
Time	2021-07-27 14:58:12
Uid	668d387145606379
tweakedFramerate	399250000/8148481;1597000000/32593137;1597000000/32593153;1597000000/32593943;199625000/4074139;319400000/6518773;798500000/16296587;1597000000/32593153;798500000/16296559;1597000000/32593103;1597000000/32593123;
